Node,s_betweenness
happy,0.12785817567884958
money,0.1079572185938049
fun,0.08957362511805216
good,0.07599781790715728
time,0.07219264000267452
child,0.0637778233429951
sex,0.05839257157311316
hope,0.03272443773632192
think,0.031912412338532446
death,0.030528806271677294
win,0.029965428792160315
church,0.029367895990968965
star,0.02755852923350682
peace,0.022287195443444267
plan,0.021455212412233478
high,0.02043892321371598
sun,0.01760803195705956
begin,0.01750933784732924
happiness,0.016868363048112744
engage,0.015756395789882787
wait,0.014830079607046872
tree,0.014788390551877728
worry,0.014708602398722063
scare,0.014668114218918792
perfect,0.01443646803298849
start,0.012916351888439119
excite,0.012681191182959914
sweet,0.012481051924561537
watch,0.012306419506596441
medical,0.011096714887318955
marriage,0.010670813968725103
mail,0.009729321153658753
excitement,0.0093090118766147
gift,0.009296268472306413
grow,0.009139087834173026
letter,0.00908627625866879
come,0.009072385144352017
present,0.009004117225139928
success,0.008793304245613942
risk,0.008443430251047053
top,0.008394224127663897
mountain,0.008298820478757329
caution,0.008259881116087546
ship,0.008145822131716593
reward,0.007954039104833187
loom,0.007667578106530484
anticipation,0.007656462122137722
celebration,0.007609920688850954
ongoing,0.007536022138313947
long,0.007342885878972636
court,0.00732362163163396
nervous,0.007301195274553909
fit,0.007199645977535158
worm,0.00708722781681495
mediate,0.007085900003779146
immerse,0.00707960142599801
vacation,0.006963042256510213
art,0.006918931938399
mother,0.006402264711351841
feel,0.006379849223049864
luck,0.006323369655662668
chocolate,0.006295429514098128
appeal,0.0060441816805865
holiday,0.005932978645541187
exciting,0.0058635372620829355
adventure,0.0054868302824880415
progress,0.005308840967336224
peaceful,0.005239103832780745
expect,0.005202041590956586
call,0.005090421424020556
comfort,0.005002676629218894
angel,0.004926855273587607
swim,0.004858823482638862
enjoy,0.004693607159345984
pretty,0.00455751545393629
laughter,0.004540988008935306
gamble,0.004513960134706361
achievement,0.004310483330666733
birthday,0.004283050794907058
creep,0.004259491356150036
football,0.004239268053580973
faith,0.004162428058941813
pay,0.004133820556310434
prediction,0.004090756183941657
readiness,0.0040771547790152156
journey,0.003998779516998643
unknown,0.0039939219140400556
fortune,0.0039517928338932305
optimism,0.003937939045114546
graduation,0.003911237936696808
expectation,0.0038478106206111867
tease,0.0038361451151891456
miracle,0.0037989712781155618
labor,0.003767628882729639
