Node,s_betweenness
bad,0.21147853725237217
death,0.06787991570937907
evil,0.06692373146248773
dirty,0.06685416954073124
disgust,0.058326870523965076
angry,0.054248032189729456
gross,0.05139263763090867
ugly,0.03435410462024232
hate,0.032068786801779645
lie,0.030411094775727787
nasty,0.02808059986790262
sick,0.026762639734957783
disease,0.025673913002463692
criminal,0.024633728395659634
fat,0.016894761038627852
cheat,0.015266426762668754
mad,0.014923993669735479
unfair,0.01481015136807795
smell,0.014731386064879884
bug,0.014295478597402092
murder,0.013021521805435175
shit,0.012753438632689455
shame,0.012624285577549674
unhappy,0.011736458831494429
snake,0.010966960363752769
steal,0.010868272515895706
cruel,0.010372903619850648
unpleasant,0.010368742600304534
dirt,0.009880424814499947
illegal,0.009786951104157143
toilet,0.009624921226185973
awful,0.00910239956974767
waste,0.00886085676555281
pig,0.008359126027855535
spoil,0.008344592771194726
lose,0.008132531424790632
dislike,0.007831870610190033
horrible,0.0077534754046000055
politic,0.0074992846876610455
violent,0.007408079471368705
terrible,0.007277758093851759
rat,0.007234492480176866
idiot,0.007211274275846181
punishment,0.007204277463075108
liar,0.006663386136284591
mess,0.006653760851331561
messy,0.006303191981437663
garbage,0.006208717878489847
lonely,0.006030182612944925
die,0.005759178599525134
ruin,0.005654722872402558
demon,0.005614073077663088
painful,0.0055164459972193046
insult,0.0054938866150959255
curse,0.005470466265792968
tree,0.005445821536956084
dishonest,0.005413885053060415
damage,0.005398422910780767
slaughter,0.005307644237571499
fool,0.005235276500585721
uncare,0.005080365982268356
stomach,0.005071830958006181
rot,0.004947211087518366
witch,0.0048583060628164115
rubbish,0.004806898433608998
trash,0.004773009363567533
ill,0.004719369966892909
greed,0.004568614972642233
burn,0.004460797471229337
constipation,0.004455862831569905
sin,0.004361079787668896
sneer,0.004332430564315246
devil,0.004240416079777247
delay,0.004220540456433647
pervert,0.004092635427390458
poison,0.004088748624837883
thief,0.003940995494005377
cancer,0.003918413209962772
failure,0.0039044383463869036
germ,0.0038790730834781044
harmful,0.0038614731562589067
inappropriate,0.003858534539369724
bleed,0.003818108976120079
bitch,0.0037976770207248716
poverty,0.0037333147721685615
rape,0.003725345534743754
disgrace,0.0036407174504945313
whore,0.003617169162409623
irritate,0.0035386109033172476
slander,0.0035368041136190414
disaster,0.003462229501334707
