Node,s_betweenness
happy,0.14027309616566397
love,0.11295878539186133
good,0.08149886075823853
fun,0.05764508144650439
money,0.055706552373267715
music,0.032501632383270446
child,0.029466810754397083
beautiful,0.029126547977856937
church,0.028783555337184383
joy,0.02532185318658548
happiness,0.02499782970106913
sex,0.024831508697749916
food,0.024741871659929863
smile,0.02395434194293354
friend,0.022153213095353626
beauty,0.016361660830357456
peace,0.015703135314080584
freedom,0.01464956818687208
baby,0.014567528675207666
sun,0.012139171709896266
win,0.011904118298350731
hope,0.011744264261980721
sweet,0.011224201989890024
excite,0.010706619440625051
marriage,0.009861664144394749
high,0.009620780616734683
star,0.009337917133208562
success,0.009178282236118527
engage,0.00890848065614423
kind,0.008337045939441559
gift,0.008175428950832045
like,0.008126238430720014
clean,0.007981815620315249
shine,0.007853597748209097
praise,0.007681603207496818
pretty,0.007318640340370877
feel,0.0072949692554256824
celebration,0.007190880150101806
comfort,0.0071895965992658595
exciting,0.007153302376960482
hero,0.0070656372819016275
angel,0.006770287405777747
dance,0.006670901283836225
please,0.00633543292740767
cheer,0.0059214933233893065
green,0.005868429244716035
special,0.005815300208132677
excitement,0.005775945301228219
mother,0.005586813881591697
inspire,0.00528675219037517
improve,0.005277287366342987
laugh,0.005161499301989761
art,0.00514782687076357
admirable,0.0051291577495114924
wealth,0.005100116563449783
wonderful,0.005083137283426404
delicious,0.005080634885378568
achievement,0.004917599956797263
kiss,0.004664629112918728
holiday,0.0045626492702030615
greatness,0.004533825243390986
surprise,0.00453266776032547
perfect,0.00426242536761876
passionate,0.004125732828629904
lovely,0.0040998038744037455
tree,0.004034225222458757
thankful,0.0038847052573899787
reward,0.0038770056848268495
optimism,0.0038571032396690842
flatter,0.0037881062545465434
climax,0.0037774841124784487
respect,0.003769029335490735
pleasurable,0.0037461203185100186
fancy,0.0036823414275836334
award,0.0033766732511565046
laughter,0.003333072842994621
spirit,0.0031179848173565703
honest,0.0030206796270854214
crown,0.002978980371920618
save,0.0028351614537913492
safe,0.0027112726628008804
helpful,0.0026932407143426067
pleasant,0.002636484729791204
glory,0.0025780835115226885
heaven,0.0025391802717923844
powerful,0.002530291661389679
chocolate,0.002507226138496439
beach,0.002494973198912434
faith,0.0024947869038449383
friendly,0.002459380400186278
true,0.002455058326145687
share,0.002436129358192699
gain,0.002407159946429614
rise,0.002400244252654714
succeed,0.0023927855139553025
proud,0.0023468637448564615
vacation,0.0023228804340189703
classic,0.0022661871844984385
peaceful,0.002050402792501148
friendship,0.0020465824820645197
pride,0.0020388961339187143
pray,0.002033801345747949
complete,0.0020287585845461934
joyful,0.0019745539281364626
grow,0.0019593851657190857
sing,0.0019247306070521617
beer,0.0018612385239807014
delight,0.001815882330405868
encourage,0.0017809792973411532
victory,0.0017760863876808022
present,0.001773183269416058
enthusiasm,0.0017486317889179243
glow,0.0017439444821244962
enjoy,0.0016811430831741652
pay,0.0016797306542786262
sparkle,0.0016576184155108703
cheerful,0.0016497371005201504
diamond,0.0016312248270269052
soothe,0.0016291959691648974
thrill,0.0016119876973609488
find,0.0016015462330598285
glee,0.001575027660688732
birthday,0.001553512728317973
jump,0.0014835199617983792
intelligence,0.0014536130760862927
football,0.001437671921613671
joyous,0.001396235935900799
lucky,0.0013753118427291765
ceremony,0.0013636103144949675
excellent,0.0013061046172251959
treasure,0.001262013955538449
celebrate,0.001248390951190259
applause,0.001248082257926428
bliss,0.001220213710520075
progress,0.0012018861835305268
goodness,0.001176788261219345
winner,0.001159225795269684
lover,0.0011543699735926047
hug,0.001142626057684718
exalt,0.0011122369502828127
clap,0.0011030920163189006
orgasm,0.0010978006637878915
perfection,0.0010907862349673139
passion,0.0010832729663587703
brilliant,0.0010780044685980807
entertain,0.0010769237543161226
satisfy,0.001075248344198711
adore,0.0010725913011610075
delightful,0.0010653785879045355
silly,0.0010611842236199073
parade,0.0010280527122741633
accomplish,0.001007623858458656
glitter,0.0009817244772506797
bride,0.0009716491086644802
harmony,0.000959740725783035
create,0.0009506104899212307
garden,0.0009470950622223291
romantic,0.0009364186853012755
achieve,0.0009224620765214817
charity,0.00090133556356013
sunshine,0.0008935873233262988
excellence,0.0008806699351768109
romance,0.000876593990485767
triumph,0.0008676451205846509
promise,0.0008457498528057803
youth,0.0008449614127542855
brighten,0.000819389199319057
birth,0.0007751365900607802
generous,0.0007681501511499784
outstanding,0.0007536244736603385
content,0.000747738333365043
alive,0.000737480312431849
amusement,0.0007351780636674393
playful,0.0007285460502893594
luck,0.0007229996030509116
moral,0.000703544066345567
worship,0.0007032645203543087
cash,0.0006887907751892968
trophy,0.0006868838375646416
blessing,0.0006707998833374298
completion,0.0006697386826302591
liberty,0.0006694135552144556
revere,0.0006639999111055807
heartfelt,0.0006634579592153497
score,0.0006578487082378318
notable,0.0006543152172697115
