Node,s_betweenness
death,0.13623283605665684
bad,0.13049289567699784
pain,0.07550526918222102
break,0.054184735507592285
hurt,0.04367498524125229
sadness,0.03506158750026977
lose,0.028682215798147562
dark,0.02864035986970527
evil,0.024682193682979338
sick,0.02446032684684648
disease,0.02347504654084867
cry,0.021697853592224987
die,0.0157157502899573
loss,0.015312484754835926
leave,0.014850331117534593
jail,0.014321756408304933
drug,0.01379635284369781
kill,0.013785462099551804
depression,0.01297458604347151
destroy,0.012215319708517289
lonely,0.011836252973938675
unhappy,0.011721324471534733
shame,0.011680106305783856
fall,0.011596916585469281
hate,0.011470718036257908
lie,0.011428030991041466
fail,0.010892916998423246
negative,0.01086421097859586
murder,0.010595067599834534
problem,0.01059022167920273
danger,0.010542328924427231
upset,0.010311543018987382
prison,0.010009473015655903
depressed,0.009069839764989545
failure,0.009019970286849345
worry,0.00889888127599945
reject,0.008466730433166607
suffer,0.008391206648926697
unfair,0.008268569927426566
disgust,0.008227089575212435
terrible,0.008096547470623586
blue,0.007684385871268958
illness,0.007602035813093593
accident,0.0074127171889141275
ill,0.007398424450025049
mistake,0.007384929465465094
exile,0.00714779070489168
violence,0.007006460055858044
music,0.006978550094686156
poverty,0.0067044265231469315
sorrow,0.006417168624334146
quiet,0.006376960791588691
overwhelm,0.0063615154388918715
ruin,0.006332046469185027
steal,0.006233541983901553
remove,0.006229802054231218
cruel,0.0060264860153700405
hospital,0.00582200241502102
crazy,0.005791116006883316
illegal,0.005350488281766594
elimination,0.005327248758845185
disaster,0.005274395581782501
uncare,0.005229631443320977
limit,0.005124290213737974
grief,0.004790954523110676
dull,0.004717534414270733
miss,0.004655536214102194
badly,0.004639392523740918
damage,0.004591326909360302
nasty,0.00456500273030657
late,0.004561808027081376
cut,0.004376432613756417
low,0.004368072764626909
wound,0.004350172715455103
isolate,0.0042774245917711305
waste,0.004099159657192055
homeless,0.004079769619991437
painful,0.004076439607185907
concern,0.00407399259957375
forget,0.004028843144410438
miserable,0.004028194704542819
mad,0.003971704599520318
injury,0.003915215937967126
awful,0.003874633756714683
error,0.0038691911583202364
feel,0.0037336979502513635
beat,0.0037278188193477866
dislike,0.0036187888504342985
abandon,0.0035564599736873405
regret,0.0034892677023668443
punish,0.003443934200587046
battle,0.0034271641224091053
desert,0.003391490507815341
helpless,0.0033897798208394558
horror,0.003353980695939445
despair,0.0032674845814593847
crash,0.0032345311469712287
abuse,0.003208511035810255
grave,0.0031770549393845358
widow,0.0031655141325443526
ground,0.0031535774690089518
meaningless,0.003117872431410911
chaos,0.003088481276460536
bother,0.0030722457187174128
oppress,0.0030631689797125743
poison,0.00305834603082403
unpleasant,0.0030036516883570757
anxiety,0.0029218767695599404
thief,0.0029073339523494526
victim,0.002905794249301435
deny,0.0028776586120802194
worsen,0.0028647281707845523
corpse,0.0028483717768241082
turmoil,0.0028355435488475237
earthquake,0.0028225012392537126
hardship,0.00281780313787659
frown,0.00278242963913771
stroke,0.0027791630573495677
slave,0.002763911973427854
hatre,0.0027549241346108448
interrupt,0.002693146544742409
fat,0.0026850414484079284
defeat,0.0026822948038136875
feeble,0.0026757960554603033
devastation,0.0026526680458855856
doom,0.002638763779879118
slaughter,0.0026280328320044456
lifeless,0.0025956502596964307
martyr,0.002595162640147452
bleed,0.002592563277547206
struggle,0.002589706453418131
divorce,0.002549423298232539
oppression,0.0025159209309663596
dismal,0.0024988650201042723
inequality,0.00249395918936047
guilt,0.0024761338388530362
embarrass,0.0024685120677263818
taint,0.0024586255918952887
casket,0.0024553777022158357
funeral,0.002416720987579451
faint,0.0023895919392430513
inappropriate,0.002389527561277513
torture,0.002380780052968237
demon,0.0023690654480696695
impossible,0.0023686171054577974
attack,0.002366742911781577
blindness,0.002366304577200588
abortion,0.00235493193270907
unrest,0.0023379039157844822
horrify,0.00232809320191378
sterile,0.0023256475416763333
incest,0.0023169710023412714
rape,0.0023158280896423255
mortality,0.0023151915128688315
memorial,0.00231277065859385
hoax,0.0023041474654377885
deluge,0.002304147465437788
cross,0.0023009115476643675
sin,0.0022760708540989568
insult,0.002257783511621225
shoot,0.0022193465886237206
unemployed,0.00213991171819769
trip,0.002139735924854466
forbid,0.0020780800000457286
disappointment,0.002037566278598338
want,0.002036120065394478
hopeless,0.0020067346153289675
guilty,0.001985619805988976
sue,0.0019829635462881245
depress,0.0019724522494541773
disappoint,0.0019673533158359063
soldier,0.001959449624828915
hurtful,0.001955265436378087
banish,0.001917069867493549
disturb,0.0018704170469194615
worthless,0.0018448243161249846
delay,0.0018332310451142683
slavery,0.0018211733876966065
mother,0.001779084550026969
frighten,0.0017745461950127873
shortage,0.0017740653805203303
trash,0.001715967104005047
misery,0.001714989344227747
unable,0.001675417464067658
humble,0.0016623238868164487
inferior,0.0016572477915552325
frustrate,0.001636518742553909
weight,0.0016015341256927081
prisoner,0.0015719320599999853
exclude,0.0015562191854828092
penalty,0.001544098302199488
sickness,0.0015312951326660153
unkind,0.0015159084619084902
case,0.0014743675619327797
unwell,0.0014571916307198893
plague,0.0014534859623436262
bomb,0.001450774089632751
disable,0.0014426914940342088
difficulty,0.001439510433376864
humiliation,0.0014393634766162592
apathy,0.0014226626967922117
loneliness,0.0014174237448308445
unsuccessful,0.0014173122788257826
distress,0.0014123248134816446
embarrassment,0.001411647418444893
pathetic,0.0014108070951183692
surgery,0.0013918025268268195
rejection,0.0013714698981004564
fatigue,0.0013660134292441664
unfortunate,0.0013617346365052312
handicap,0.0013575149501490757
futile,0.0013573086648904957
hang,0.0013546355355193898
offend,0.0013501636042568305
hermit,0.0013416198882045365
crush,0.0013363804729614132
epidemic,0.0013224493017018975
exhaustion,0.0013193718143842989
lawsuit,0.0012840154596911633
rob,0.0012367263941259112
shack,0.0012231166973016689
coward,0.0012072409371184944
suicide,0.0011950414074300476
disallow,0.0011601540461339316
darkness,0.0011493887509786366
honest,0.0011319919454555595
moan,0.0011147591456531734
debt,0.0011074339203974086
conflict,0.001095572336639327
whine,0.0010955148304068422
cripple,0.0010925685550970616
anguish,0.0010757175474300454
termination,0.0010523999959065632
sore,0.0010373152889384836
downfall,0.0010231526036683111
pointless,0.0009883748207533997
alcoholism,0.0009845258951259232
tease,0.0009770674876678242
famine,0.0009720061008442545
wear,0.000971385161503701
deceit,0.0009656334754313324
withdraw,0.0009624691667146017
unpaid,0.0009602594852949642
sympathy,0.0009361557019004342
harmful,0.0009337274618066166
injure,0.0009280420708231625
gray,0.0009121805281888875
unhealthy,0.000898078837324125
expel,0.0008972932575615564
win,0.0008942149637085967
dishonest,0.0008928804951112251
gloomy,0.0008900339264735741
isolation,0.0008716214733163767
doubt,0.0008704167072217274
art,0.0008523641735242673
restriction,0.0008473125957380367
fast,0.0008471155515910937
outcast,0.0008289134381122612
stigma,0.0008084160929751916
deceive,0.0008064436837870436
psychosis,0.0008011635729598304
mourn,0.0007961192848244896
wail,0.0007874453103835771
unhappiness,0.0007820189229923603
humiliate,0.0007804703279394569
scarcity,0.0007560091080451978
destitute,0.0007499846457115171
decay,0.0007364972421928371
exhaust,0.0007354479860101488
rot,0.0007227122306941674
pity,0.0007224346873461805
collapse,0.0007065003929711022
kidnap,0.0006976265510289177
hell,0.0006925333498131658
massacre,0.0006712611900330533
disability,0.0006595697177216921
expire,0.0006595197607157339
bury,0.0006335329232892202
deadly,0.0006322529248751947
neglect,0.0006298388637372991
