Node,s_betweenness
surprise,0.1229350868048363
death,0.11625247905643915
good,0.1123081258808386
money,0.07883479710895981
smile,0.07305531718873784
scare,0.05680137849524568
shock,0.050483477635726526
win,0.04983565950558794
unexpected,0.04531551356267362
break,0.04348646071124314
accident,0.04220682072830074
excite,0.040186053207129445
wonderful,0.03933519921247114
celebration,0.0338969719742615
explosion,0.028324452212838136
laugh,0.028069898629886708
mystery,0.02715702158426069
chance,0.026948033795185886
excitement,0.025471703903806743
trick,0.024242517068432386
gift,0.022841009827980263
cheer,0.021648210985846728
laughter,0.020321619534927622
exciting,0.020269224676342196
bang,0.019770167356622598
angel,0.018957188314576174
disaster,0.01778832442935828
scream,0.017699402912072375
explode,0.017341992047158188
hope,0.017159366389114427
sun,0.016651185129600676
feel,0.015762171902434154
unpredictable,0.01568598094864882
crash,0.015625883492564448
surprising,0.015479245325850976
attack,0.015394170240355245
shout,0.014885327692852914
birthday,0.014809366117809796
unique,0.01444376297607055
thief,0.013260727675948927
tree,0.013128747503043237
surprised,0.01298024207771583
sudden,0.0129749002901648
present,0.01259721209606555
suddenly,0.01256554288610129
high,0.012384812469951222
revolution,0.012294586301392584
hero,0.011854536677588404
lose,0.011686984104122625
sneak,0.01157025160981995
sweet,0.011450139261516595
ambush,0.01127265819622732
kiss,0.011153776388674597
pleasant,0.01097767011645129
intrigue,0.009921822987814898
guess,0.00965179251025644
alarm,0.009471974292032354
startle,0.00943529050369092
reward,0.009421860305647576
wild,0.009242125337292502
luck,0.00919952563703526
playful,0.008833125430693381
yell,0.008634972529184654
catch,0.008553311530581538
uncanny,0.008035602681432993
violent,0.007898838509218652
experiment,0.007820271773493337
trip,0.007570745702159827
large,0.007535935941178169
treason,0.007093894079657663
horror,0.00708154931394747
brighten,0.006904583127669993
award,0.006858470406102349
murder,0.006807413956293613
tickle,0.006802002734413665
graduation,0.006589795188175391
delight,0.006444097301406985
saint,0.006411046566871935
inspire,0.006314786515497548
slaughter,0.006187092922149793
bomb,0.0061659200737358725
oddity,0.006106720550921093
raid,0.006101339359707915
magical,0.006073532368933975
revolt,0.006044802455401565
coup,0.005976990841140813
flirt,0.005955357627171422
treat,0.005937341611595403
stealth,0.0058460588356757355
liberty,0.005830903790087463
illuminate,0.005768231841608219
spirit,0.005678094255285595
clown,0.005664977149538002
thrill,0.005527396224533385
mouth,0.005465516446860343
uncertain,0.005323888251442933
joker,0.005276958642566077
jerk,0.005114485879938067
ceremony,0.004889127257726268
magician,0.004836532883899949
remarkable,0.00451180838197382
shriek,0.004426513824489558
deceit,0.004249075826793063
gasp,0.003909617760614465
pop,0.0038848059905357154
stab,0.003793268705558074
greatness,0.0037737501032413883
winner,0.0037715371442124256
sparkle,0.0037638645757018304
marry,0.003680269929829227
shoot,0.0036203866676755526
volcano,0.0034536400323123685
compliment,0.003440959846536718
leave,0.0033880684094240673
heroic,0.0033160240011502503
miracle,0.00318991379083765
trophy,0.0031690961389757247
stun,0.00316572884796392
erupt,0.003143780969230159
blessing,0.0030956360763823316
trickery,0.0030254908503032194
abrupt,0.0027901678139763153
magnificent,0.002766768313484589
romance,0.002682398428327813
amaze,0.0026531898743934563
coincidence,0.0024899888608657184
electric,0.0024617321289411853
emergency,0.002393711557478394
treachery,0.0023705260031141036
illusion,0.002298404537006835
punch,0.002277419016719591
alert,0.0022109072435203703
curiosity,0.002201693533091987
parade,0.002197290988908287
score,0.0021763885261598917
spectacular,0.0020465149807151746
enthusiasm,0.0019824216167960013
precious,0.0019581952280341474
blast,0.001949772073570197
fright,0.0018364234087699268
suspense,0.0018160425758675732
lucky,0.0017815262835093094
catastrophe,0.0017118633842620908
shop,0.0016634173867890363
wizard,0.0016594786001612133
erratic,0.0016574663835648657
crown,0.001634186539836698
exclaim,0.001615961340082412
frighten,0.0015622510277003565
eruption,0.0015458225223388433
festival,0.0015404117990773423
vanish,0.0015209759055571704
receive,0.0015118297241184563
unstable,0.0013067788993259054
cheerful,0.001267693634640074
fortune,0.0012342128983992247
intense,0.0012026290110894776
hopeful,0.0011722747113513724
enchant,0.0011120827976275516
splendid,0.0010428722783677336
changeable,0.0009829412091829004
rescue,0.0009826428419532345
devastation,0.0009305787331997117
expect,0.0009125671247346399
ecstatic,0.0008996145719678662
medal,0.0008942742561966308
gamble,0.0008690524616769778
grin,0.0008141749756130534
art,0.0008045351333527982
insult,0.0007705923405147698
sorcery,0.0007654221722818175
aspiration,0.0007214456463185075
prank,0.0007018693209777039
mysterious,0.0006936852132698404
swerve,0.000679138331175963
holiness,0.0006642703979401843
optimism,0.000659023590375355
advance,0.0006398924377712727
sunny,0.0006117991651381118
dawn,0.0005812215848812532
sneeze,0.0005660895012480511
astonishment,0.0005556674081543115
inheritance,0.0005475169393788306
uncontrollable,0.0005428573246476397
goodness,0.000537643884391778
