Degree,Count
3,3
4,11
5,12
6,13
7,17
8,17
9,14
10,20
11,18
12,13
13,12
14,12
15,15
16,6
17,7
18,8
19,11
20,8
21,8
22,5
23,9
24,12
25,5
26,9
27,7
28,4
29,13
30,7
31,4
32,6
33,6
34,7
35,6
36,10
37,11
38,6
39,7
40,8
41,8
42,5
43,5
44,5
45,6
46,11
47,8
48,4
49,7
50,5
51,4
52,11
53,14
54,8
55,8
56,4
57,5
58,3
59,6
60,6
61,4
62,6
63,7
64,11
65,5
66,4
67,6
68,9
69,2
70,5
71,7
72,3
73,5
74,7
75,5
76,6
77,3
78,1
79,6
80,5
81,5
82,7
83,2
84,5
85,4
86,3
87,6
88,3
89,4
90,5
91,7
92,2
93,2
94,5
95,5
96,3
97,1
98,1
99,3
100,5
101,2
102,5
103,4
104,1
105,5
106,5
107,2
108,3
110,2
111,3
113,4
115,2
116,5
117,1
118,1
119,3
120,6
121,4
122,2
123,2
124,5
126,2
127,1
128,2
129,3
130,1
132,3
134,1
135,2
136,2
137,2
138,1
139,2
140,1
141,2
142,2
143,1
144,1
145,1
146,1
147,1
148,2
149,1
150,2
151,1
152,3
154,2
155,2
158,2
159,2
160,1
161,4
162,1
163,1
164,1
165,3
169,1
170,2
174,1
175,2
176,2
177,2
179,1
180,1
182,2
186,1
187,1
188,1
189,1
190,1
191,1
194,1
195,1
198,1
202,1
203,1
207,1
209,1
211,1
213,1
214,1
215,1
217,1
225,1
227,1
230,1
231,1
240,1
243,2
244,1
246,1
247,2
248,1
250,2
253,1
254,1
260,1
264,1
265,1
266,1
270,1
275,1
277,1
278,1
282,1
285,2
286,1
289,1
293,1
302,1
306,1
314,1
315,2
316,1
317,2
322,1
329,1
333,1
340,1
342,1
360,1
366,1
371,1
376,2
391,1
392,1
400,1
432,1
434,1
438,1
458,1
462,1
500,1
508,1
517,1
533,1
563,1
586,1
606,1
622,1
665,1
743,1
770,1
832,1
878,1
951,1
1097,1
1137,1
1335,1
1444,1
