Degree,Count
4,8
5,6
6,4
7,10
8,7
9,7
10,3
11,4
12,8
13,5
14,3
15,9
16,5
17,3
18,12
19,6
20,6
21,12
22,11
23,12
24,5
25,5
26,4
27,6
28,10
29,8
30,6
31,6
32,11
33,8
34,6
35,7
36,13
37,4
38,9
39,12
40,6
41,8
42,6
43,3
44,5
45,1
46,6
47,5
48,6
49,9
50,5
51,10
52,4
53,4
54,5
55,8
56,1
57,9
58,8
59,2
60,2
61,4
62,1
63,3
64,3
65,1
66,3
67,4
68,2
69,2
70,1
71,4
72,5
73,4
74,1
75,1
76,5
77,1
78,5
79,5
80,4
81,3
82,3
83,2
85,1
86,4
87,3
88,1
89,3
90,3
92,1
93,2
95,1
96,3
97,1
98,1
101,2
103,1
105,1
106,2
107,1
108,2
109,4
110,2
112,2
113,1
114,1
115,1
116,2
117,1
118,1
119,2
120,2
121,1
123,1
124,3
126,3
128,2
129,1
130,1
133,1
135,1
136,1
138,2
143,2
145,4
146,3
149,1
151,1
154,4
155,1
158,1
161,1
163,1
164,1
165,1
168,1
169,1
170,1
174,1
182,1
184,1
188,2
189,1
192,1
209,1
212,2
214,1
217,1
228,1
243,1
245,1
247,1
248,1
258,1
265,1
270,1
283,1
304,1
309,1
408,2
428,1
447,1
537,1
550,1
677,1
759,1
