Degree,Count
3,4
4,11
5,12
6,12
7,16
8,19
9,14
10,14
11,9
12,10
13,7
14,9
15,5
16,7
17,10
18,9
19,10
20,5
21,8
22,6
23,9
24,5
25,7
26,8
27,13
28,2
29,9
30,10
31,8
32,7
33,10
34,7
35,7
36,5
37,6
38,12
39,12
40,4
41,6
42,9
43,11
44,4
45,8
46,6
47,11
48,7
49,8
50,7
51,9
52,6
53,4
54,4
55,4
56,3
57,4
58,4
59,7
60,2
61,5
62,6
63,4
64,4
65,2
66,7
67,8
68,10
69,4
70,4
71,4
72,5
73,4
74,7
75,3
76,6
77,4
78,6
79,3
80,3
81,5
82,8
83,4
84,1
85,2
86,1
87,3
88,4
89,4
90,1
91,5
92,1
93,2
94,4
95,3
96,5
97,3
98,2
100,1
102,4
107,1
108,1
109,3
110,2
111,3
113,3
115,3
116,3
117,1
119,1
120,4
121,1
122,2
123,4
124,3
125,2
126,2
127,2
130,1
131,2
132,1
133,1
134,2
136,1
137,1
138,3
140,2
141,3
142,1
143,2
144,1
147,2
149,1
151,1
153,2
154,1
155,1
160,1
162,1
163,2
164,2
165,1
166,1
168,1
169,2
171,1
172,1
175,2
176,1
184,1
185,1
186,1
192,1
193,2
195,1
206,1
207,1
210,1
211,1
212,1
213,1
216,1
217,1
221,1
222,1
225,1
229,1
236,1
241,1
242,2
245,1
246,1
247,1
249,1
252,1
263,1
264,1
266,1
276,2
277,1
293,1
303,1
316,1
322,1
335,1
338,1
344,1
361,1
398,1
404,1
467,1
488,1
508,1
538,1
545,1
576,1
582,1
599,1
734,1
795,1
879,1
889,1
1430,1
