Degree,Count
3,1
4,2
5,4
6,4
7,7
8,10
9,7
10,7
11,4
12,6
13,3
14,3
15,3
16,7
17,3
18,5
19,7
21,2
22,8
23,2
24,1
25,4
26,7
27,7
28,9
29,4
30,4
31,7
32,5
33,4
34,7
35,3
36,6
37,3
38,7
39,1
40,4
41,7
42,6
43,8
44,7
45,6
46,6
47,3
48,2
49,9
50,7
51,1
52,6
54,5
55,3
56,3
57,4
58,4
59,6
60,5
61,6
62,7
63,7
64,7
65,5
66,1
67,1
68,1
69,3
70,2
71,3
72,1
73,4
74,5
75,1
76,5
77,4
78,3
79,5
80,2
81,2
82,6
83,2
84,3
85,2
86,2
87,2
88,1
90,3
91,5
92,4
94,2
95,1
96,5
97,4
98,2
99,1
100,2
101,2
104,1
106,1
107,1
108,2
110,2
111,2
113,2
115,1
117,2
120,3
121,2
122,1
123,1
124,1
126,3
127,1
128,3
129,2
130,2
131,3
132,2
134,3
135,2
136,1
137,1
140,2
141,4
142,1
144,4
145,1
146,2
147,3
149,1
152,1
154,1
155,1
159,2
160,1
164,1
169,1
170,1
172,1
173,1
174,2
175,1
177,1
180,1
181,1
185,2
187,1
188,1
189,1
194,1
197,1
198,3
200,1
202,1
205,1
206,1
210,1
214,2
215,2
221,1
222,1
224,1
225,1
228,1
230,1
232,2
233,1
238,1
254,1
255,1
261,1
267,1
269,1
274,1
275,1
276,1
280,1
284,1
286,1
301,1
303,1
346,1
354,1
355,1
360,1
363,1
369,1
418,1
425,1
478,1
499,1
505,1
557,1
572,1
589,1
600,1
698,1
716,1
816,1
883,1
1358,1
1840,1
