Degree,Count
2,16
3,44
4,66
5,86
6,80
7,109
8,129
9,128
10,101
11,118
12,120
13,86
14,95
15,83
16,112
17,72
18,66
19,68
20,54
21,47
22,36
23,38
24,36
25,32
26,25
27,26
28,28
29,13
30,12
31,18
32,16
33,11
34,10
35,15
36,9
37,17
38,10
39,15
40,6
41,14
42,8
43,5
44,13
45,8
46,11
47,7
48,13
49,12
50,19
51,11
52,14
53,13
54,18
55,10
56,24
57,18
58,18
59,22
60,29
61,16
62,23
63,18
64,26
65,22
66,13
67,23
68,31
69,34
70,32
71,27
72,22
73,27
74,39
75,22
76,27
77,31
78,34
79,33
80,36
81,45
82,43
83,30
84,28
85,40
86,37
87,36
88,32
89,38
90,42
91,38
92,36
93,35
94,33
95,38
96,37
97,35
98,40
99,31
100,30
101,30
102,33
103,31
104,34
105,25
106,32
107,22
108,40
109,25
110,22
111,30
112,28
113,27
114,26
115,37
116,25
117,39
118,36
119,29
120,28
121,29
122,29
123,23
124,25
125,16
126,19
127,15
128,23
129,18
130,22
131,21
132,26
133,9
134,22
135,21
136,14
137,15
138,13
139,18
140,26
141,24
142,19
143,21
144,14
145,9
146,10
147,12
148,17
149,15
150,14
151,17
152,8
153,12
154,14
155,7
156,9
157,18
158,23
159,15
160,8
161,4
162,12
163,12
164,11
165,7
166,9
167,13
168,12
169,13
170,13
171,12
172,15
173,9
174,11
175,16
176,10
177,11
178,9
179,11
180,8
181,12
182,4
183,6
184,5
185,13
186,10
187,10
188,10
189,10
190,3
191,11
192,5
193,8
194,10
195,3
196,6
197,5
198,3
199,13
200,11
201,8
202,6
203,9
204,9
205,8
206,16
207,8
208,5
209,9
210,8
211,13
212,5
213,4
214,7
215,8
216,9
217,7
218,7
219,6
220,11
221,3
222,4
223,10
224,4
225,6
226,9
227,8
228,2
229,5
230,8
231,8
232,1
233,6
234,4
235,3
236,10
237,9
238,7
239,8
240,3
241,5
242,5
243,4
244,4
245,3
246,3
247,9
248,5
249,11
250,2
