Degree,Count
3,2
4,11
5,19
6,9
7,21
8,11
9,15
10,17
11,15
12,10
13,7
14,12
15,8
16,10
17,7
18,5
19,5
20,6
21,10
22,4
23,5
24,10
25,7
27,10
28,12
29,6
30,8
31,7
32,10
33,8
34,3
35,9
36,12
37,7
38,9
39,6
40,10
41,6
42,6
43,11
44,6
45,8
46,7
47,8
48,7
49,9
50,8
51,8
52,6
53,6
54,7
55,12
56,10
57,5
58,8
59,10
60,2
61,8
62,10
63,5
64,3
65,8
66,6
67,2
68,8
69,5
70,4
71,7
72,3
73,7
74,3
75,6
76,4
77,5
79,2
80,3
82,5
83,3
84,4
85,7
86,6
87,4
88,3
89,3
90,1
91,3
92,6
93,2
94,2
95,4
96,1
97,4
98,1
99,4
100,1
101,5
102,4
103,2
104,2
105,7
106,3
107,1
108,2
109,5
111,3
112,4
113,2
114,3
115,2
116,3
117,2
118,2
119,2
121,2
123,2
125,3
127,2
128,3
129,2
130,2
131,1
132,2
133,4
134,1
135,1
136,2
138,1
139,1
140,1
141,1
142,2
143,1
145,1
146,1
147,2
148,1
150,1
151,1
152,1
153,1
154,1
155,2
156,1
157,2
158,1
159,1
160,1
161,2
166,1
167,2
168,1
170,1
171,2
172,2
174,1
175,1
176,1
177,1
178,4
180,1
184,2
191,3
194,1
198,2
199,1
200,1
203,1
206,2
207,1
210,1
211,1
213,1
216,1
217,2
218,2
220,1
222,1
224,1
226,1
229,1
230,1
233,2
238,2
241,1
243,1
250,1
260,1
264,1
268,1
276,1
280,1
284,1
289,1
293,1
295,1
301,1
302,1
308,1
310,1
313,1
316,1
318,1
326,1
331,1
332,2
334,1
336,2
339,1
340,1
341,1
344,1
356,1
359,1
365,1
371,1
373,1
384,1
388,1
399,1
401,1
404,1
434,1
443,1
464,1
501,1
511,1
532,1
541,1
542,1
553,1
666,1
779,1
1055,1
1326,1
1340,1
1453,1
