Degree,Count
3,3
4,3
5,2
6,8
7,7
8,4
9,6
10,5
11,8
12,5
13,8
14,7
15,8
16,6
17,17
18,8
19,8
20,10
21,3
22,3
23,4
24,8
25,5
26,7
27,5
28,12
29,4
30,8
31,6
32,14
33,5
34,6
35,5
36,3
37,1
38,5
39,3
40,8
41,3
42,4
43,3
44,2
46,2
48,3
49,2
50,2
51,1
53,4
54,1
55,1
56,1
57,3
60,4
61,1
62,3
63,2
64,3
65,2
67,1
68,1
71,2
73,1
75,1
76,1
77,1
78,1
79,2
81,1
82,3
83,1
84,1
85,1
87,1
89,1
90,2
92,3
94,4
96,2
97,2
98,1
99,1
101,1
102,1
104,3
105,1
106,1
108,2
110,1
118,1
120,1
123,1
130,1
133,1
134,1
174,1
183,1
193,1
209,1
240,1
247,1
272,1
286,1
