Degree,Count
3,4
4,9
5,9
6,16
7,15
8,6
9,22
10,9
11,12
12,12
13,6
14,7
15,7
16,12
17,8
18,6
19,7
20,12
21,8
22,10
23,8
24,3
25,8
26,3
27,8
28,7
29,7
30,11
31,10
32,16
33,9
34,10
35,11
36,13
37,11
38,8
39,8
40,9
41,7
42,12
43,15
44,14
45,10
46,10
47,9
48,7
49,9
50,4
51,8
52,4
53,13
54,7
55,5
56,4
57,5
58,8
59,3
60,6
61,9
62,6
63,7
64,4
65,10
66,10
67,6
68,9
69,4
70,5
71,2
72,5
73,7
74,5
75,6
76,3
77,11
78,9
79,2
80,8
81,2
82,7
83,1
84,3
85,1
86,6
87,3
88,5
89,3
90,7
91,1
92,2
93,2
94,2
95,2
97,4
98,4
99,4
100,3
101,4
102,2
103,6
104,2
105,5
106,2
107,1
108,2
109,1
110,2
111,2
112,1
113,1
115,2
116,2
117,2
118,1
121,3
122,4
123,2
124,1
125,2
126,3
127,2
128,4
129,2
130,4
131,1
132,3
133,1
136,1
137,1
138,1
139,2
140,1
141,1
142,4
143,1
145,1
147,3
148,2
149,2
150,1
151,2
152,2
153,2
154,1
155,3
156,2
158,1
159,1
160,1
161,5
162,2
163,1
166,1
168,1
169,3
171,3
174,2
175,1
178,1
179,1
181,1
184,1
188,1
190,1
191,1
192,1
193,1
197,1
198,1
200,1
202,3
203,2
205,1
206,1
207,1
210,2
212,1
215,1
216,2
217,1
220,1
222,1
226,1
227,1
230,2
231,1
232,1
247,1
249,1
251,1
252,2
257,1
258,1
261,1
266,1
270,1
272,1
275,1
282,1
286,1
287,1
289,1
295,1
298,1
305,1
307,1
309,1
312,1
321,1
329,1
344,1
347,1
350,1
351,1
355,1
368,1
370,1
374,1
383,1
397,1
412,1
434,1
437,1
452,1
453,1
460,2
516,1
531,1
556,1
562,1
590,1
667,1
888,1
932,1
1053,1
1089,1
1360,1
