Node,s_betweenness
bad,0.1306161543298191
anger,0.08681512479607748
angry,0.07694275621397309
fight,0.06717447112549257
death,0.049664213353782106
evil,0.04517218833828762
hurt,0.04253425164271576
fear,0.029456388041008988
money,0.02931862082213424
break,0.02730032094321679
hate,0.026313505940096453
lie,0.02273459116414428
annoying,0.02205625750920077
kill,0.02125728512878101
crime,0.020155485877999584
criminal,0.017786449651274207
force,0.016891454548968284
crazy,0.015778474574869004
disgust,0.015751622050909887
murder,0.01469703275543224
violence,0.014241771639277092
lose,0.01358783332600736
destroy,0.012745362699036946
gun,0.012512795475973861
politic,0.012009249014687497
hit,0.010316085452516222
unfair,0.01021697583972742
bully,0.010108455435150748
mad,0.009644631108592124
steal,0.00859721978853775
attack,0.008074629987898383
upset,0.008058592832501814
punishment,0.008031298476221237
revenge,0.007870530614468062
yell,0.007645923570330805
hot,0.007514441122762462
thief,0.007367037761947923
lawyer,0.0071500990865539125
illegal,0.007034876780201985
unhappy,0.006853498230679197
enemy,0.006843441101983846
remove,0.006812738326412338
nasty,0.00681078829922393
violent,0.006776448294239406
cruel,0.006767518118730029
bother,0.006677483295152446
scream,0.006572888950569789
chaos,0.006559547636077572
cheat,0.006456631427623558
beat,0.0063509143042803605
disease,0.0061245619239049314
prison,0.006067690701581058
rage,0.0059743000115767214
argument,0.005662223705212139
scare,0.005628976144048749
frustration,0.005519645328474455
damage,0.005369542830058743
revolt,0.005242442237077948
insult,0.005079942482894018
shoot,0.005063346978975039
accuse,0.0049169649889933605
exile,0.004853351395078648
oppress,0.004718678007920356
destruction,0.004636916246448215
harmful,0.004542418636482622
rape,0.004509079375727559
hateful,0.0044155291693778196
storm,0.004409162932645363
annoy,0.004364859834467437
court,0.004327187729627844
deny,0.004267472004684486
loss,0.0041842996225112065
horrible,0.004085233749457569
cross,0.003919041563637519
explode,0.003918250622532538
feel,0.0038835400453362703
uncare,0.003847065579630838
dislike,0.003818562819655922
battle,0.003814407180445687
sin,0.003802557697001591
aggressive,0.003787384504620941
hell,0.0037308873608011563
frustrate,0.003704716864141447
hatre,0.00370195173059701
cut,0.0036911116883658066
abandon,0.003642297871755543
awful,0.003545363688679316
oppression,0.0035265583439454684
sneer,0.0034604245185476316
word,0.0034473845821016745
elimination,0.003432634194767376
jerk,0.00341532481242612
anarchy,0.0033961229484017774
soldier,0.0033732305959792235
disdain,0.003343928680039828
witch,0.0033116698973107224
punish,0.0033101304164689276
reject,0.0032959422852826305
limit,0.0032570160748599257
terrible,0.003224366480748073
despair,0.0031101854676951874
arrogant,0.0031081097167387902
injury,0.003070794933368892
curse,0.0030390118678482385
damn,0.0030338606645413167
poison,0.0030236341960299044
indignation,0.003021795027372831
shout,0.002992426478081521
conflict,0.0029886053681775194
discrimination,0.0029485893466412658
hurtful,0.002947383322877713
depressed,0.0028603745834911
assault,0.00283520460879702
die,0.0028120120468800784
bomb,0.0027660830302458977
argue,0.002721870797788261
aggression,0.0026971997925560823
demon,0.0026907212728069273
struggle,0.002652537592741466
irritate,0.0026335158020087956
penalty,0.002626427565938544
shun,0.002607822475089682
devil,0.0025980966544327314
whip,0.0025933671409818495
crush,0.002551908007652321
abuse,0.002532129842900326
turmoil,0.0025249627745538832
injustice,0.0024862860180231783
discord,0.002470976027761852
wound,0.0024532506769775865
cancer,0.002447216830508284
difficulty,0.002447187754402514
slaughter,0.002384533031822444
ruin,0.002371938923763743
disturb,0.0023714935306266877
inappropriate,0.00237010915425656
clash,0.0023602864323713853
scar,0.0023421261594090536
tyrant,0.0023385221893998534
rejection,0.002337804360301487
rebel,0.002320437534062483
anguish,0.002316796895118087
murderer,0.0022973219238367265
rap,0.002275510975050777
madness,0.0022725266270908714
challenge,0.002265378415027227
aggravate,0.002263377882440235
vote,0.002255810368846457
resistance,0.0022521378974061077
fuss,0.002239152668334673
hostility,0.002238955385248292
eradicate,0.0022327165222642983
batter,0.002217485680801685
controversial,0.002184473999585234
incompetent,0.0021828455892615125
mortality,0.0021823508700694644
claw,0.0021819595978440484
commotion,0.0021815894744992383
fence,0.0021447278239447886
threaten,0.002112790559462972
shortage,0.0021087170829257695
blame,0.0021039970680378855
victim,0.0021005945570347706
box,0.0020524342856545756
bang,0.0020027886658799702
disappoint,0.0019358877613483735
desert,0.001905611854626934
sue,0.0018914478172851596
bear,0.0018781759405841927
anxiety,0.0018162852802349342
selfish,0.0017712521015604418
horror,0.0017684258736372007
tree,0.001756897231397825
powerful,0.0017469020897237606
punch,0.001746552426525
painful,0.0017462452306564902
frown,0.0017397083446032745
disaster,0.001730696714719931
slander,0.0017298458519765933
slap,0.0016859196139161303
grab,0.0015992543338835975
tease,0.001582658826350345
devastation,0.0015292202629805492
lonely,0.0015277943427445702
pirate,0.0015266029321847
belt,0.0014949870898952153
shit,0.0014935914265877485
strike,0.001480887135570864
betrayal,0.0014793821440599807
