Node,s_betweenness
bad,0.10562145529075437
death,0.1002675263536509
fear,0.07231334751737875
war,0.05104826538751732
danger,0.04905453909392848
pain,0.04887383786332357
evil,0.045159806094896136
hurt,0.03547430544530129
dangerous,0.03514854178056021
fire,0.032685246668453356
break,0.028535176419026222
scare,0.026541142428542656
fight,0.025475014599595967
disease,0.025368930627642478
lose,0.020359959922995004
gun,0.020065636599764382
police,0.01869529182874056
crazy,0.01672224316621788
kill,0.015802653644525943
disgust,0.015046097451284723
criminal,0.014805218395784345
jail,0.012084905258490881
snake,0.011523991702429482
bully,0.011418335980712685
ghost,0.011306407594025179
destroy,0.010867776935058342
murder,0.0107777060584503
hate,0.010475815878750879
accident,0.009975783447949305
force,0.009652512606029428
hide,0.009539858652860124
violence,0.00875696780981541
worry,0.008536475677186845
difficult,0.008062738863203002
die,0.007839233246082815
problem,0.007798720115065935
prison,0.007594732059759399
illness,0.00737869771570009
attack,0.006933950842152571
government,0.006891082856337406
strange,0.006777494430450431
beat,0.006162574638861491
cut,0.006122315956400389
poison,0.006088343243115331
terrible,0.005965630960407633
disaster,0.0058907115479262424
suffer,0.0058061710610553
high,0.005783066297516165
illegal,0.005775047312151577
enemy,0.0057037850344573
cruel,0.005666491010951267
elimination,0.00552970871912761
horror,0.005523952849522556
military,0.005515839553557114
horrible,0.0053512902811410175
challenge,0.0053405131270884846
mad,0.005334671991339374
lawyer,0.005329859565983671
witch,0.005236792944994112
oppress,0.005195742479822624
monster,0.005078222178462786
steal,0.005013966920422735
scream,0.004934754973864954
lion,0.0049248555171988555
feel,0.004735125699044337
loss,0.004720624840561704
violent,0.00468870747948849
yell,0.004596174422512588
rule,0.0045579309257886705
hospital,0.004529825296102313
chaos,0.004480736538304838
darkness,0.0043334615855238285
flood,0.004297119920837265
bomb,0.004234006029739754
shame,0.004209032824428793
fly,0.004176880027120714
earthquake,0.004142946181186866
court,0.0039728361708544135
thief,0.003952237674650347
frighten,0.003927758427745261
doom,0.0038621692281949555
battle,0.0037962923375287378
lonely,0.0037879872844808495
crash,0.003767981234605145
desert,0.003750779634387708
shake,0.0037261604379479145
curse,0.0036753386811437124
shoot,0.0036659046718491655
nasty,0.00364363729374779
punishment,0.003639311533428458
exile,0.00352621773142217
rape,0.003361557951872811
demon,0.0033153294487021606
unknown,0.0033094890021901397
surprise,0.003207416501259726
revenge,0.003182391371163035
ill,0.0031160136377744964
rage,0.0030103178731203865
hell,0.002927581192725116
revolt,0.002922596686494607
alien,0.002918198403686009
anxiety,0.0029119582625604557
victim,0.0028852985479671358
devil,0.0028162426934739996
fail,0.0028010641047714413
afraid,0.002785400001962461
hunt,0.0027617112614771043
injury,0.0027609659742983423
remove,0.002748955050131886
struggle,0.0027472304124310214
bug,0.0027428772228484046
fearful,0.002720066131745631
stroke,0.002676037626841217
awful,0.0026704971172282193
wound,0.0026417968171602315
avoid,0.0026389422514518797
hawk,0.002619242349203937
hiding,0.0025940237964371298
powerful,0.002541251296980714
revolution,0.002513566163727111
anarchy,0.0025051902516467243
oppression,0.0024885763294476785
expel,0.002443656732959405
ground,0.0024186886227983927
depressed,0.0024102979497438093
halt,0.002335566295368146
shock,0.0023338360903749546
hatre,0.0023308160206017355
casket,0.0023286511548373536
poverty,0.002313172969782444
coward,0.0023118551663204603
bear,0.0022675946217152144
painful,0.002196647869543566
haunt,0.0021933502246767778
ruin,0.002169935077421998
aggressive,0.002163404386529571
horrify,0.0021630668591865678
riot,0.0021494982448005727
accuse,0.002147188429203223
cruelty,0.00213078683561398
craze,0.002124273623127697
fury,0.002091628031220199
bleed,0.0020835319668162434
explosion,0.0020691756251050336
uprise,0.0020599284160577273
ruthless,0.00205661390819181
tyrant,0.0020482647230281132
difficulty,0.0020471700683392336
panic,0.002020794151293261
treachery,0.001994176621847399
sink,0.001982628347254489
unstable,0.001978713365784441
slaughter,0.001970781662272729
domination,0.0019666740043469658
volcano,0.0019616706617689456
exclusion,0.001959720783690166
devastation,0.0019419723034982143
turmoil,0.00193723326088872
sorrow,0.0019292841728214382
swim,0.0019278648425449622
embarrassment,0.0019268450830946817
nervous,0.0019087128504177155
vendetta,0.0018906294055543113
medical,0.0018816633785683735
bigot,0.001880609079620426
cliff,0.0018786746274707064
prosecute,0.001873755907423104
infectious,0.001872259391243969
sin,0.0018628599293518406
swerve,0.0018558514750628924
mysterious,0.0018389944314445843
artillery,0.001833745257858475
cross,0.0018184576918683216
mortality,0.0018175075476952718
threaten,0.0018140002171507423
radioactive,0.0018123684159648832
vulture,0.0018057656947671314
discipline,0.001805674818526871
faint,0.0017983370885674861
incest,0.0017982766052140654
plunge,0.0017972663299897437
martyr,0.0017965525260119361
seizure,0.0017932102380927505
libel,0.0017928279761897249
urgent,0.0017867780596137234
devilish,0.0017841213202497777
razor,0.001784121320249777
drown,0.0017704371546114215
punish,0.001724250703178166
plague,0.0017240732624716666
cop,0.0017072163845773037
dictatorship,0.001679817971470653
escape,0.0016741042061577905
harmful,0.001670339445402163
anguish,0.0016671705042402309
arm,0.0016662658742419183
hang,0.0016598619601810405
change,0.0016324964008507207
assassination,0.0016244951163866728
terror,0.0016139904772671078
murderer,0.0016085001580842238
theft,0.0015326298640404425
forbid,0.0015215612253285014
confusion,0.0015146358705984968
coffin,0.001504638668290867
dragon,0.0015028997681157902
brigade,0.0015010480738209613
torture,0.001490649928021628
harm,0.001479255607761383
sickness,0.0014615168607267405
deprivation,0.0014226636318745963
line,0.0014161206793076673
suicide,0.0014000940074947077
miss,0.0013784171991148555
abuse,0.0013699926493837616
blue,0.0013673351322460688
insane,0.001357841182872731
threat,0.0013422513299415101
epidemic,0.0012868333133383408
tornado,0.0012563860043096507
anxious,0.0012522284995135535
failure,0.0012517088288003801
disorder,0.0012404536452680851
defense,0.0012298857751231343
explode,0.0012151084210548732
warn,0.0012132171200833705
rod,0.0012114223903132168
troll,0.001202136493402178
hostility,0.0011868728586048975
pillage,0.0011738844943610866
wary,0.001159175301480393
warrior,0.0011557105974713167
cancer,0.0011411583059574358
fang,0.001134231229753016
crack,0.0011327377481644182
concern,0.0011318077504872137
deadly,0.0011121689622627749
dictator,0.0011047778397374204
assault,0.00110117977843112
prevent,0.0010969176640841035
brutal,0.0010949077055962605
despair,0.0010815540669883205
bee,0.0010485765339879813
stab,0.0010433221029712847
loom,0.0010181497344830008
shriek,0.0009905601316185675
cautious,0.0009833860865811064
rat,0.0009730534412215792
menace,0.0009725066358469391
aggression,0.000953983222935611
tyranny,0.0009311358983870983
insult,0.0009305641805743914
abandon,0.0009269260978509706
bang,0.0009205701136710698
surgery,0.0009196663004761964
wrath,0.0009156871239450791
immoral,0.0009039957677716908
savage,0.0008932872045495811
robber,0.0008846113204832978
grave,0.0008678705734662696
conflict,0.0008627632439712685
watch,0.000861436609972842
fright,0.000846066926825636
catastrophe,0.0008432068911978676
sinner,0.0008346500005783577
scar,0.0008344805949813837
venom,0.0008338564816969373
rebel,0.0008338534849796955
slave,0.000832409390005977
traitor,0.0008144348028401131
kidnap,0.0008078307981317761
adversity,0.0008049376022597935
villain,0.0008043142652276673
helpless,0.0007998252070409049
waste,0.0007979069615621672
suppress,0.0007760378194304159
injure,0.0007755309232735365
delusion,0.000768191234304147
prisoner,0.0007571003131020917
uncertain,0.0007567866105536191
emergency,0.0007512911024046452
carnage,0.0007498595050534003
madness,0.0007469485443123166
hurtful,0.000727927566809158
terrorist,0.0007252459281271096
cane,0.0007222126222407924
gang,0.0007214770146618793
guard,0.00071544564980211
unlawful,0.0007113519887781518
beast,0.0007088165833148245
sly,0.0007024423311592533
