Node,s_betweenness
water,0.03781405944293471
work,0.030865262094070613
car,0.028445523058665226
book,0.02179109569676314
small,0.018997821286929353
red,0.01700726902452436
paper,0.016500900209152566
light,0.015677274028889212
house,0.01508490790549961
dog,0.014223987535789132
people,0.01402082167723366
wood,0.013226170123782213
big,0.012714491937479646
color,0.01237885961424738
life,0.012031448034774149
hair,0.011713637502647815
bore,0.011183871029860105
science,0.011126246024572588
animal,0.01024144099735045
glass,0.009964727424346983
eye,0.009624803355324776
cold,0.009623700838747837
mean,0.009167888847206361
movie,0.008970968693537256
bird,0.008743606875006695
person,0.008664749282393185
study,0.00836617828417132
build,0.008309423997241614
drink,0.008038729279821636
stop,0.007909828021732438
space,0.00780747569925495
clothe,0.007766726033978029
game,0.007743994041635843
computer,0.007673599450078273
group,0.007608472666107731
metal,0.0074556851744268125
rock,0.006792836348216757
number,0.00676119630887662
job,0.006755769469596201
play,0.006560421635801
song,0.006487283114469513
cat,0.006377644356715465
blood,0.00634219444544084
idea,0.006325178510294248
talk,0.006304132129604596
body,0.006288590041147321
rich,0.0062312775995053025
plant,0.006209352646135841
boat,0.006022463501642659
hand,0.00593144426309064
move,0.005877222204758587
ball,0.005867229084445459
flower,0.005845372645881131
fish,0.0057982393147215155
sound,0.0056990952764163095
party,0.005542672020642138
face,0.005497597362502822
end,0.00536006218725009
close,0.00527932396286207
paint,0.005159078930249065
short,0.005065270857162767
sleep,0.005051601208522317
loud,0.004911090145191089
story,0.004829368414411092
gold,0.004811782267799219
give,0.004776133113996556
round,0.004736075478477281
mind,0.004724577037811514
write,0.004657278093425332
sea,0.004584431926714019
head,0.0045562424853330934
fake,0.004535915405875241
train,0.004495985585229317
language,0.00438303864726563
open,0.004359329245730647
stick,0.004329881533534217
kid,0.0042534834463581845
run,0.004163470638634809
road,0.004151515726850975
travel,0.004122627040115345
easy,0.004104348866393845
country,0.00408296405680934
place,0.0039792505940592715
warm,0.003969653571684657
skin,0.003938270659612568
field,0.003931554309332873
sport,0.003928609444658764
yellow,0.003913807144988845
shoe,0.0038650153237661995
wind,0.003857741025680436
brown,0.0038551756352069137
eat,0.0038270718325252814
circle,0.0038094471656201917
order,0.0037441378929038236
point,0.0037254990000157124
walk,0.00370748587122168
business,0.003612050731049375
cool,0.0035602957127158475
army,0.003542879219558338
slow,0.0035104708118839324
hole,0.0034997609709438555
